,chembl_id,standard_type,standard_value,standard_unit,target_chembl_id
14817,CHEMBL572878,Ki,3162.28,nM,CHEMBL5330
14818,CHEMBL572878,Ki,4.6,nM,CHEMBL3935
14819,CHEMBL572878,Ki,4.6,nM,CHEMBL3935
14820,CHEMBL572878,Ki,1.0,nM,CHEMBL4722
14821,CHEMBL572878,Ki,4.6,nM,CHEMBL3935
14822,CHEMBL572878,Ki,18.0,nM,CHEMBL2185
14823,CHEMBL572878,Ki,2.0,nM,CHEMBL4722
14824,CHEMBL572878,Ki,1258.93,nM,CHEMBL5314
14825,CHEMBL572878,Ki,3981.07,nM,CHEMBL4482
14826,CHEMBL572878,Ki,3981.07,nM,CHEMBL260
14827,CHEMBL572878,Ki,3981.07,nM,CHEMBL2595
14828,CHEMBL572878,Ki,3981.07,nM,CHEMBL262
14829,CHEMBL572878,Ki,2511.89,nM,CHEMBL5284
14830,CHEMBL572878,Ki,1584.89,nM,CHEMBL203
14831,CHEMBL572878,Ki,7943.28,nM,CHEMBL3024
14832,CHEMBL572878,Ki,11.0,nM,CHEMBL3788
14833,CHEMBL572878,Ki,18.0,nM,CHEMBL2185
14834,CHEMBL572878,Ki,18.0,nM,CHEMBL2185
14835,CHEMBL572878,Ki,398.11,nM,CHEMBL1913
14836,CHEMBL572878,Ki,199.53,nM,CHEMBL6002
14837,CHEMBL572878,Ki,3981.07,nM,CHEMBL5026
14838,CHEMBL572878,Ki,1995.26,nM,CHEMBL2964
14839,CHEMBL572878,Ki,30.0,nM,CHEMBL1974
14840,CHEMBL572878,Ki,1.8,nM,CHEMBL2185
14841,CHEMBL572878,Ki,6309.57,nM,CHEMBL4674
14842,CHEMBL572878,Ki,30.0,nM,CHEMBL1974
14843,CHEMBL572878,Ki,4.6,nM,CHEMBL3935
14844,CHEMBL572878,Ki,30.0,nM,CHEMBL1862
14845,CHEMBL572878,Ki,31.62,nM,CHEMBL2250
14846,CHEMBL572878,Ki,630.96,nM,CHEMBL2742
14847,CHEMBL572878,Ki,1584.89,nM,CHEMBL6014
14848,CHEMBL572878,Ki,79.43,nM,CHEMBL5261
14849,CHEMBL572878,Ki,5011.87,nM,CHEMBL2276
14850,CHEMBL572878,Ki,3981.07,nM,CHEMBL5600
14851,CHEMBL572878,Ki,3981.07,nM,CHEMBL2345
14852,CHEMBL572878,Ki,5011.87,nM,CHEMBL2349
14853,CHEMBL572878,Ki,6309.57,nM,CHEMBL3829
14854,CHEMBL572878,Ki,7943.28,nM,CHEMBL2543
14855,CHEMBL572878,Ki,4.6,nM,CHEMBL3935
14856,CHEMBL572878,Ki,3981.07,nM,CHEMBL2850
14857,CHEMBL572878,Ki,1258.93,nM,CHEMBL5903
14858,CHEMBL572878,Ki,7943.28,nM,CHEMBL2493
14859,CHEMBL572878,Ki,6309.57,nM,CHEMBL5794
14860,CHEMBL572878,Ki,2511.89,nM,CHEMBL4708
14861,CHEMBL572878,Ki,1995.26,nM,CHEMBL4237
14862,CHEMBL572878,Ki,1000.0,nM,CHEMBL5754
14863,CHEMBL572878,Ki,63.1,nM,CHEMBL2959
14864,CHEMBL572878,Ki,25.12,nM,CHEMBL3788
14865,CHEMBL572878,Ki,10000.0,nM,CHEMBL4896
14866,CHEMBL572878,Ki,12.59,nM,CHEMBL2041
14867,CHEMBL572878,Ki,18.0,nM,CHEMBL2185
14868,CHEMBL572878,Ki,0.6,nM,CHEMBL4722
